Lysipatha is a genus of moth in the family Gelechiidae . || SUBJECT: Lysipatha || PREDICATE: parent taxon || OBJECT: Gelechiidae 
`` Love You So '' is the second single recorded by British singer Delilah , and is sampled from Chaka Khan 's Ai n't Nobody . The song , produced by Syience , was released as a digital download single on 18 December 2011 in the United Kingdom from her debut album , From the Roots Up . || SUBJECT: From the Roots Up || PREDICATE: performer || OBJECT: Delilah 
Lourdoueix-Saint-Michel is a commune in the Indre department in central France . || SUBJECT: Lourdoueix-Saint-Michel || PREDICATE: located in the administrative territorial entity || OBJECT: Indre 
Lourdoueix-Saint-Michel is a commune in the Indre department in central France . || SUBJECT: Indre || PREDICATE: instance of || OBJECT: department 
Lourdoueix-Saint-Michel is a commune in the Indre department in central France . || SUBJECT: Indre || PREDICATE: country || OBJECT: France 
Lucka is a town in the Thuringian landkreis of Altenburger Land . || SUBJECT: Lucka || PREDICATE: located in the administrative territorial entity || OBJECT: Altenburger Land 
Lucka is a town in the Thuringian landkreis of Altenburger Land . || SUBJECT: Thuringia || PREDICATE: contains administrative territorial entity || OBJECT: Altenburger Land 
Lucka is a town in the Thuringian landkreis of Altenburger Land . || SUBJECT: Altenburger Land || PREDICATE: located in the administrative territorial entity || OBJECT: Thuringia 
Magnús Orri Schram ( born 23 April 1972 ) is an Icelandic politician . || SUBJECT: Magnús Orri Schram || PREDICATE: date of birth || OBJECT: 23 April 1972 
Magnús Orri Schram ( born 23 April 1972 ) is an Icelandic politician . || SUBJECT: Magnús Orri Schram || PREDICATE: country of citizenship || OBJECT: Iceland 
Love Notes is a 1977 jazz album by Ramsey Lewis released on Columbia Records . This album features Lewis 's collaboration with Motown artist Stevie Wonder on the songs `` Spring High '' and the title track , which Wonder wrote and arranged . || SUBJECT: Love Notes || PREDICATE: publication date || OBJECT: 1977 
Love Notes is a 1977 jazz album by Ramsey Lewis released on Columbia Records . This album features Lewis 's collaboration with Motown artist Stevie Wonder on the songs `` Spring High '' and the title track , which Wonder wrote and arranged . || SUBJECT: Love Notes || PREDICATE: performer || OBJECT: Ramsey Lewis 
Love Notes is a 1977 jazz album by Ramsey Lewis released on Columbia Records . This album features Lewis 's collaboration with Motown artist Stevie Wonder on the songs `` Spring High '' and the title track , which Wonder wrote and arranged . || SUBJECT: Love Notes || PREDICATE: record label || OBJECT: Columbia Records 
Love Notes is a 1977 jazz album by Ramsey Lewis released on Columbia Records . This album features Lewis 's collaboration with Motown artist Stevie Wonder on the songs `` Spring High '' and the title track , which Wonder wrote and arranged . || SUBJECT: Ramsey Lewis || PREDICATE: record label || OBJECT: Columbia Records 
Love Notes is a 1977 jazz album by Ramsey Lewis released on Columbia Records . This album features Lewis 's collaboration with Motown artist Stevie Wonder on the songs `` Spring High '' and the title track , which Wonder wrote and arranged . || SUBJECT: Stevie Wonder || PREDICATE: record label || OBJECT: Motown 
MV Rattlesnake was a ferry launched in 1907 to operate between the communities of Summerland and Naramata on Okanagan Lake in British Columbia , Canada . Rattlesnake was originally called Orillia before she was bought and renamed by pioneer John Moore Robinson , owner of the Okanagan Lake Boat Company . She was launched in 1907 , becoming the Company 's second boat after the tug Maude-Moore , though she was the third Summerland-Naramata ferry after Maude-Moore and the smaller Mallard . Rattlesnake was first used as Robinson 's private launch before beginning ferry service . She was a short , squat , slow and ugly tug that rode low in the water , but she was also powerful and she tugged cement pipe from factories , as well as hay and logs . In 1911 , the Okanagan Lake Boat Company was sold to Peter Roe , who replaced Maude-Moore and Rattlesnake with two gas boats . || SUBJECT: MV Rattlesnake || PREDICATE: country || OBJECT: Canada 
MV Rattlesnake was a ferry launched in 1907 to operate between the communities of Summerland and Naramata on Okanagan Lake in British Columbia , Canada . Rattlesnake was originally called Orillia before she was bought and renamed by pioneer John Moore Robinson , owner of the Okanagan Lake Boat Company . She was launched in 1907 , becoming the Company 's second boat after the tug Maude-Moore , though she was the third Summerland-Naramata ferry after Maude-Moore and the smaller Mallard . Rattlesnake was first used as Robinson 's private launch before beginning ferry service . She was a short , squat , slow and ugly tug that rode low in the water , but she was also powerful and she tugged cement pipe from factories , as well as hay and logs . In 1911 , the Okanagan Lake Boat Company was sold to Peter Roe , who replaced Maude-Moore and Rattlesnake with two gas boats . || SUBJECT: Okanagan Lake || PREDICATE: located in the administrative territorial entity || OBJECT: British Columbia 
MV Rattlesnake was a ferry launched in 1907 to operate between the communities of Summerland and Naramata on Okanagan Lake in British Columbia , Canada . Rattlesnake was originally called Orillia before she was bought and renamed by pioneer John Moore Robinson , owner of the Okanagan Lake Boat Company . She was launched in 1907 , becoming the Company 's second boat after the tug Maude-Moore , though she was the third Summerland-Naramata ferry after Maude-Moore and the smaller Mallard . Rattlesnake was first used as Robinson 's private launch before beginning ferry service . She was a short , squat , slow and ugly tug that rode low in the water , but she was also powerful and she tugged cement pipe from factories , as well as hay and logs . In 1911 , the Okanagan Lake Boat Company was sold to Peter Roe , who replaced Maude-Moore and Rattlesnake with two gas boats . || SUBJECT: Okanagan Lake || PREDICATE: country || OBJECT: Canada 
MV Rattlesnake was a ferry launched in 1907 to operate between the communities of Summerland and Naramata on Okanagan Lake in British Columbia , Canada . Rattlesnake was originally called Orillia before she was bought and renamed by pioneer John Moore Robinson , owner of the Okanagan Lake Boat Company . She was launched in 1907 , becoming the Company 's second boat after the tug Maude-Moore , though she was the third Summerland-Naramata ferry after Maude-Moore and the smaller Mallard . Rattlesnake was first used as Robinson 's private launch before beginning ferry service . She was a short , squat , slow and ugly tug that rode low in the water , but she was also powerful and she tugged cement pipe from factories , as well as hay and logs . In 1911 , the Okanagan Lake Boat Company was sold to Peter Roe , who replaced Maude-Moore and Rattlesnake with two gas boats . || SUBJECT: British Columbia || PREDICATE: country || OBJECT: Canada 
MV Rattlesnake was a ferry launched in 1907 to operate between the communities of Summerland and Naramata on Okanagan Lake in British Columbia , Canada . Rattlesnake was originally called Orillia before she was bought and renamed by pioneer John Moore Robinson , owner of the Okanagan Lake Boat Company . She was launched in 1907 , becoming the Company 's second boat after the tug Maude-Moore , though she was the third Summerland-Naramata ferry after Maude-Moore and the smaller Mallard . Rattlesnake was first used as Robinson 's private launch before beginning ferry service . She was a short , squat , slow and ugly tug that rode low in the water , but she was also powerful and she tugged cement pipe from factories , as well as hay and logs . In 1911 , the Okanagan Lake Boat Company was sold to Peter Roe , who replaced Maude-Moore and Rattlesnake with two gas boats . || SUBJECT: Canada || PREDICATE: contains administrative territorial entity || OBJECT: British Columbia 
Malakeh ( ملاكه , also Romanized as Malākeh ; also known as Malācheh , Mallācheh , and Mulāchi ) is a village in Bahmanshir-e Jonubi Rural District , in the Central District of Abadan County , Khuzestan Province , Iran . At the 2006 census , its population was 585 , in 111 families . || SUBJECT: Malakeh || PREDICATE: located in the administrative territorial entity || OBJECT: Bahmanshir-e Jonubi Rural District 
Malakeh ( ملاكه , also Romanized as Malākeh ; also known as Malācheh , Mallācheh , and Mulāchi ) is a village in Bahmanshir-e Jonubi Rural District , in the Central District of Abadan County , Khuzestan Province , Iran . At the 2006 census , its population was 585 , in 111 families . || SUBJECT: Bahmanshir-e Jonubi Rural District || PREDICATE: located in the administrative territorial entity || OBJECT: Central District 
Malakeh ( ملاكه , also Romanized as Malākeh ; also known as Malācheh , Mallācheh , and Mulāchi ) is a village in Bahmanshir-e Jonubi Rural District , in the Central District of Abadan County , Khuzestan Province , Iran . At the 2006 census , its population was 585 , in 111 families . || SUBJECT: Bahmanshir-e Jonubi Rural District || PREDICATE: country || OBJECT: Iran 
Malakeh ( ملاكه , also Romanized as Malākeh ; also known as Malācheh , Mallācheh , and Mulāchi ) is a village in Bahmanshir-e Jonubi Rural District , in the Central District of Abadan County , Khuzestan Province , Iran . At the 2006 census , its population was 585 , in 111 families . || SUBJECT: Central District || PREDICATE: located in the administrative territorial entity || OBJECT: Abadan County 
Malakeh ( ملاكه , also Romanized as Malākeh ; also known as Malācheh , Mallācheh , and Mulāchi ) is a village in Bahmanshir-e Jonubi Rural District , in the Central District of Abadan County , Khuzestan Province , Iran . At the 2006 census , its population was 585 , in 111 families . || SUBJECT: Central District || PREDICATE: country || OBJECT: Iran 
Malakeh ( ملاكه , also Romanized as Malākeh ; also known as Malācheh , Mallācheh , and Mulāchi ) is a village in Bahmanshir-e Jonubi Rural District , in the Central District of Abadan County , Khuzestan Province , Iran . At the 2006 census , its population was 585 , in 111 families . || SUBJECT: Abadan County || PREDICATE: contains administrative territorial entity || OBJECT: Central District 
Malakeh ( ملاكه , also Romanized as Malākeh ; also known as Malācheh , Mallācheh , and Mulāchi ) is a village in Bahmanshir-e Jonubi Rural District , in the Central District of Abadan County , Khuzestan Province , Iran . At the 2006 census , its population was 585 , in 111 families . || SUBJECT: Abadan County || PREDICATE: located in the administrative territorial entity || OBJECT: Khuzestan Province 
Malakeh ( ملاكه , also Romanized as Malākeh ; also known as Malācheh , Mallācheh , and Mulāchi ) is a village in Bahmanshir-e Jonubi Rural District , in the Central District of Abadan County , Khuzestan Province , Iran . At the 2006 census , its population was 585 , in 111 families . || SUBJECT: Abadan County || PREDICATE: country || OBJECT: Iran 
Lydia Maria Francis Child ( born Lydia Maria Francis ) ( February 11 , 1802October 20 , 1880 ) , was an American abolitionist , women 's rights activist , Native American rights activist , novelist , journalist , and opponent of American expansionism .   Her journals , both fiction and domestic manuals , reached wide audiences from the 1820s through the 1850s . At times she shocked her audience as she tried to take on issues of both male dominance and white supremacy in some of her stories .   Despite these challenges , Child may be most remembered for her poem `` Over the River and Through the Wood . '' Her grandparents ' house , which she wrote about visiting , was restored by Tufts University in 1976 and stands near the Mystic River on South Street , in Medford , Massachusetts . || SUBJECT: Lydia Maria Francis Child || PREDICATE: date of birth || OBJECT: February 11, 1802 
Lydia Maria Francis Child ( born Lydia Maria Francis ) ( February 11 , 1802October 20 , 1880 ) , was an American abolitionist , women 's rights activist , Native American rights activist , novelist , journalist , and opponent of American expansionism .   Her journals , both fiction and domestic manuals , reached wide audiences from the 1820s through the 1850s . At times she shocked her audience as she tried to take on issues of both male dominance and white supremacy in some of her stories .   Despite these challenges , Child may be most remembered for her poem `` Over the River and Through the Wood . '' Her grandparents ' house , which she wrote about visiting , was restored by Tufts University in 1976 and stands near the Mystic River on South Street , in Medford , Massachusetts . || SUBJECT: Lydia Maria Francis Child || PREDICATE: date of death || OBJECT: October 20, 1880 
Madeley railway station ( sometimes referred to as Madeley Salop railway station ) is a disused railway station in Madeley , Shropshire , England .   The station was opened by the Great Western Railway in 1837 as Madeley Court . In 1897 it was renamed simply Madeley . The station was closed in 1915 but reopened in July 1925 only to close permanently in September of the same year . || SUBJECT: Madeley railway station || PREDICATE: located in the administrative territorial entity || OBJECT: Madeley 
The Lusaka National Museum is a museum located in Lusaka , Zambia , covering the history and culture of the nation . || SUBJECT: Lusaka National Museum || PREDICATE: located in the administrative territorial entity || OBJECT: Lusaka 
The Lusaka National Museum is a museum located in Lusaka , Zambia , covering the history and culture of the nation . || SUBJECT: Lusaka National Museum || PREDICATE: country || OBJECT: Zambia 
The Lusaka National Museum is a museum located in Lusaka , Zambia , covering the history and culture of the nation . || SUBJECT: Lusaka || PREDICATE: country || OBJECT: Zambia 
Luke Michael Norris ( born 3 June 1993 ) is an English professional footballer who plays as a forward for Swindon Town . He is a product of the Brentford academy . He was known as Luke Hacker until 2012 . || SUBJECT: Michael Norris || PREDICATE: date of birth || OBJECT: 3 June 1993 
Luke Michael Norris ( born 3 June 1993 ) is an English professional footballer who plays as a forward for Swindon Town . He is a product of the Brentford academy . He was known as Luke Hacker until 2012 . || SUBJECT: Michael Norris || PREDICATE: sport || OBJECT: footballer 
Luke Michael Norris ( born 3 June 1993 ) is an English professional footballer who plays as a forward for Swindon Town . He is a product of the Brentford academy . He was known as Luke Hacker until 2012 . || SUBJECT: Michael Norris || PREDICATE: position played on team / speciality || OBJECT: forward 
Luke Michael Norris ( born 3 June 1993 ) is an English professional footballer who plays as a forward for Swindon Town . He is a product of the Brentford academy . He was known as Luke Hacker until 2012 . || SUBJECT: Michael Norris || PREDICATE: member of sports team || OBJECT: Swindon Town 
Luke Michael Norris ( born 3 June 1993 ) is an English professional footballer who plays as a forward for Swindon Town . He is a product of the Brentford academy . He was known as Luke Hacker until 2012 . || SUBJECT: Michael Norris || PREDICATE: member of sports team || OBJECT: Brentford 
Luke Michael Norris ( born 3 June 1993 ) is an English professional footballer who plays as a forward for Swindon Town . He is a product of the Brentford academy . He was known as Luke Hacker until 2012 . || SUBJECT: forward || PREDICATE: sport || OBJECT: footballer 
Luke Michael Norris ( born 3 June 1993 ) is an English professional footballer who plays as a forward for Swindon Town . He is a product of the Brentford academy . He was known as Luke Hacker until 2012 . || SUBJECT: Swindon Town || PREDICATE: sport || OBJECT: footballer 
Luke Michael Norris ( born 3 June 1993 ) is an English professional footballer who plays as a forward for Swindon Town . He is a product of the Brentford academy . He was known as Luke Hacker until 2012 . || SUBJECT: Brentford || PREDICATE: sport || OBJECT: footballer 
Maksim Borisovich Kabanov ( Максим Борисович Кабанов born 30 December 1982 in Moscow ) is a Russian footballer . He last played for FC SKA-Energiya Khabarovsk .   He is the older brother of Sergei Kabanov .   A youth product of FC Spartak Moscow , he joined FC Voronezh on loan in February 2002 .   In December 2003 , he signed a 5-year contract with FC Torpedo Moscow .   He played 2 games in the UEFA Champions League 2001 -- 02 for FC Spartak Moscow . || SUBJECT: Maksim Borisovich Kabanov || PREDICATE: date of birth || OBJECT: 30 December 1982 
Maksim Borisovich Kabanov ( Максим Борисович Кабанов born 30 December 1982 in Moscow ) is a Russian footballer . He last played for FC SKA-Energiya Khabarovsk .   He is the older brother of Sergei Kabanov .   A youth product of FC Spartak Moscow , he joined FC Voronezh on loan in February 2002 .   In December 2003 , he signed a 5-year contract with FC Torpedo Moscow .   He played 2 games in the UEFA Champions League 2001 -- 02 for FC Spartak Moscow . || SUBJECT: Maksim Borisovich Kabanov || PREDICATE: place of birth || OBJECT: Moscow 
Maksim Borisovich Kabanov ( Максим Борисович Кабанов born 30 December 1982 in Moscow ) is a Russian footballer . He last played for FC SKA-Energiya Khabarovsk .   He is the older brother of Sergei Kabanov .   A youth product of FC Spartak Moscow , he joined FC Voronezh on loan in February 2002 .   In December 2003 , he signed a 5-year contract with FC Torpedo Moscow .   He played 2 games in the UEFA Champions League 2001 -- 02 for FC Spartak Moscow . || SUBJECT: Maksim Borisovich Kabanov || PREDICATE: member of sports team || OBJECT: FC Spartak Moscow 
Maksim Borisovich Kabanov ( Максим Борисович Кабанов born 30 December 1982 in Moscow ) is a Russian footballer . He last played for FC SKA-Energiya Khabarovsk .   He is the older brother of Sergei Kabanov .   A youth product of FC Spartak Moscow , he joined FC Voronezh on loan in February 2002 .   In December 2003 , he signed a 5-year contract with FC Torpedo Moscow .   He played 2 games in the UEFA Champions League 2001 -- 02 for FC Spartak Moscow . || SUBJECT: Maksim Borisovich Kabanov || PREDICATE: member of sports team || OBJECT: FC Voronezh 
Maksim Borisovich Kabanov ( Максим Борисович Кабанов born 30 December 1982 in Moscow ) is a Russian footballer . He last played for FC SKA-Energiya Khabarovsk .   He is the older brother of Sergei Kabanov .   A youth product of FC Spartak Moscow , he joined FC Voronezh on loan in February 2002 .   In December 2003 , he signed a 5-year contract with FC Torpedo Moscow .   He played 2 games in the UEFA Champions League 2001 -- 02 for FC Spartak Moscow . || SUBJECT: Maksim Borisovich Kabanov || PREDICATE: member of sports team || OBJECT: FC Spartak Moscow 
Maksim Borisovich Kabanov ( Максим Борисович Кабанов born 30 December 1982 in Moscow ) is a Russian footballer . He last played for FC SKA-Energiya Khabarovsk .   He is the older brother of Sergei Kabanov .   A youth product of FC Spartak Moscow , he joined FC Voronezh on loan in February 2002 .   In December 2003 , he signed a 5-year contract with FC Torpedo Moscow .   He played 2 games in the UEFA Champions League 2001 -- 02 for FC Spartak Moscow . || SUBJECT: UEFA Champions League 2001 -- 02 || PREDICATE: sport || OBJECT: footballer 
Maksim Borisovich Kabanov ( Максим Борисович Кабанов born 30 December 1982 in Moscow ) is a Russian footballer . He last played for FC SKA-Energiya Khabarovsk .   He is the older brother of Sergei Kabanov .   A youth product of FC Spartak Moscow , he joined FC Voronezh on loan in February 2002 .   In December 2003 , he signed a 5-year contract with FC Torpedo Moscow .   He played 2 games in the UEFA Champions League 2001 -- 02 for FC Spartak Moscow . || SUBJECT: FC Spartak Moscow || PREDICATE: sport || OBJECT: footballer 
Maksim Borisovich Kabanov ( Максим Борисович Кабанов born 30 December 1982 in Moscow ) is a Russian footballer . He last played for FC SKA-Energiya Khabarovsk .   He is the older brother of Sergei Kabanov .   A youth product of FC Spartak Moscow , he joined FC Voronezh on loan in February 2002 .   In December 2003 , he signed a 5-year contract with FC Torpedo Moscow .   He played 2 games in the UEFA Champions League 2001 -- 02 for FC Spartak Moscow . || SUBJECT: FC Torpedo Moscow || PREDICATE: sport || OBJECT: footballer 
Maksim Borisovich Kabanov ( Максим Борисович Кабанов born 30 December 1982 in Moscow ) is a Russian footballer . He last played for FC SKA-Energiya Khabarovsk .   He is the older brother of Sergei Kabanov .   A youth product of FC Spartak Moscow , he joined FC Voronezh on loan in February 2002 .   In December 2003 , he signed a 5-year contract with FC Torpedo Moscow .   He played 2 games in the UEFA Champions League 2001 -- 02 for FC Spartak Moscow . || SUBJECT: FC Spartak Moscow || PREDICATE: sport || OBJECT: footballer 
is a Japanese manga series by Akihito Tsukushi . It has been serialized online via Takeshobo 's digital publication Web Comic Gamma since October 2012 , and has been collected in five tankōbon volumes . An anime television series adaptation by Kinema Citrus is scheduled to air from July 7 , 2017 . || SUBJECT: Takeshobo || PREDICATE: subsidiary || OBJECT: Web Comic Gamma 
is a Japanese manga series by Akihito Tsukushi . It has been serialized online via Takeshobo 's digital publication Web Comic Gamma since October 2012 , and has been collected in five tankōbon volumes . An anime television series adaptation by Kinema Citrus is scheduled to air from July 7 , 2017 . || SUBJECT: Web Comic Gamma || PREDICATE: parent organization || OBJECT: Takeshobo 
The Lucidarius , an anonymous medieval book , was the first German language summa , written circa 1190-1195 . It was based on different sources , the chief one being the Elucidarium and other texts by Honorius Augustodunensis . Other sources include De philosophia mundi by William of Conches and De divinis officiis by Rupert of Deutz . It has been preserved in 66 partial or complete manuscripts , and 85 printings in German . It is claimed to be the first original German language work in prose .   It was an introduction for laymen in the current religious beliefs and general knowledge , and was divided in three books , within the first book a description of the Creation and of the world in three parts , Asia , Africa and Europa . The second book focused on Christianity and liturgy , with the third and final book centered on the afterlife and the Last Judgment .   The text has a prologue in verse , while the body is in prose , in the form of a dialogue between a student and his master . Different manuscripts of the text have different prose introductions , with one possibly slightly later version claiming that the text originated in Braunschweig under the impulse of duke Henry the Lion .   The book continued to be reworked and expanded in later versions , with generally more emphasis on the general knowledge and less on the religious aspects . A printed version from Strassburg from around 1534 was specifically intended for Protestants and used information from Sebastian Franck 's Weltbuch from 1534 . Later printings , mainly from Frankfurt , followed this example , adding more illustrations and information . Parts from it were also used in Historia von D. Johann Fausten , the first Faust book .   Translations of the book appeared in Dutch , Danish , Croatian and Czech . || SUBJECT: De divinis officiis || PREDICATE: author || OBJECT: Rupert of Deutz 
The Louisville Colonels were a Major League Baseball team that played in the American Association ( AA ) throughout that league 's ten-year existence from 1882 until 1891 . They were known as the Louisville Eclipse from 1882 to 1884 , and as the Louisville Colonels from 1885 to 1891 . The latter name derived from the historic Kentucky colonels . After the AA folded in 1891 , the Colonels joined the National League and played through the 1899 season .   `` Colonels '' was also the name of several minor league baseball teams that played in Louisville , Kentucky , in the 20th century . || SUBJECT: Major League Baseball || PREDICATE: subsidiary || OBJECT: National League 
The Louisville Colonels were a Major League Baseball team that played in the American Association ( AA ) throughout that league 's ten-year existence from 1882 until 1891 . They were known as the Louisville Eclipse from 1882 to 1884 , and as the Louisville Colonels from 1885 to 1891 . The latter name derived from the historic Kentucky colonels . After the AA folded in 1891 , the Colonels joined the National League and played through the 1899 season .   `` Colonels '' was also the name of several minor league baseball teams that played in Louisville , Kentucky , in the 20th century . || SUBJECT: National League || PREDICATE: part of || OBJECT: Major League Baseball 
Lucien Sainte-Rose ( born May 29 , 1953 in Fort-de-France , Martinique ) is a French athlete who specialises in the 100 and 200 meters . Sainte-Rose competed at the 1972 Summer Olympics and 1976 Summer Olympics . || SUBJECT: Lucien Sainte-Rose || PREDICATE: date of birth || OBJECT: May 29, 1953 
Lucien Sainte-Rose ( born May 29 , 1953 in Fort-de-France , Martinique ) is a French athlete who specialises in the 100 and 200 meters . Sainte-Rose competed at the 1972 Summer Olympics and 1976 Summer Olympics . || SUBJECT: Lucien Sainte-Rose || PREDICATE: place of birth || OBJECT: Fort-de-France 
Lucien Sainte-Rose ( born May 29 , 1953 in Fort-de-France , Martinique ) is a French athlete who specialises in the 100 and 200 meters . Sainte-Rose competed at the 1972 Summer Olympics and 1976 Summer Olympics . || SUBJECT: Lucien Sainte-Rose || PREDICATE: participant in || OBJECT: 1972 Summer Olympics 
Lucien Sainte-Rose ( born May 29 , 1953 in Fort-de-France , Martinique ) is a French athlete who specialises in the 100 and 200 meters . Sainte-Rose competed at the 1972 Summer Olympics and 1976 Summer Olympics . || SUBJECT: Lucien Sainte-Rose || PREDICATE: participant in || OBJECT: 1976 Summer Olympics 
Lucien Sainte-Rose ( born May 29 , 1953 in Fort-de-France , Martinique ) is a French athlete who specialises in the 100 and 200 meters . Sainte-Rose competed at the 1972 Summer Olympics and 1976 Summer Olympics . || SUBJECT: Fort-de-France || PREDICATE: located in the administrative territorial entity || OBJECT: Martinique 
Lucien Sainte-Rose ( born May 29 , 1953 in Fort-de-France , Martinique ) is a French athlete who specialises in the 100 and 200 meters . Sainte-Rose competed at the 1972 Summer Olympics and 1976 Summer Olympics . || SUBJECT: Martinique || PREDICATE: capital || OBJECT: Fort-de-France 
`` Magneto '' is the debut single from the UK rock band , Brigade , off their debut album Lights . It reached # 3 on the UK Rock Chart and # 134 on the UK Singles Chart . || SUBJECT: Magneto || PREDICATE: performer || OBJECT: Brigade 
`` Magneto '' is the debut single from the UK rock band , Brigade , off their debut album Lights . It reached # 3 on the UK Rock Chart and # 134 on the UK Singles Chart . || SUBJECT: Magneto || PREDICATE: part of || OBJECT: Lights 
`` Magneto '' is the debut single from the UK rock band , Brigade , off their debut album Lights . It reached # 3 on the UK Rock Chart and # 134 on the UK Singles Chart . || SUBJECT: Lights || PREDICATE: performer || OBJECT: Brigade 
Malankotta devasthanam is an ancient pilgrimage centre in Anicadu village . This place is related Vaipur  Mmahadeva temple .   Category : Hindu temples in Pathanamthitta district || SUBJECT: Vaipur || PREDICATE: located in the administrative territorial entity || OBJECT: Pathanamthitta district 
Lynwood Senior High School is a public co-educational high school in Perth , Western Australia . The school is located on Metcalfe Road in the Perth suburb of Parkwood . || SUBJECT: Lynwood Senior High School || PREDICATE: located in the administrative territorial entity || OBJECT: Perth 
Lynwood Senior High School is a public co-educational high school in Perth , Western Australia . The school is located on Metcalfe Road in the Perth suburb of Parkwood . || SUBJECT: Lynwood Senior High School || PREDICATE: located in the administrative territorial entity || OBJECT: Western Australia 
Lynwood Senior High School is a public co-educational high school in Perth , Western Australia . The school is located on Metcalfe Road in the Perth suburb of Parkwood . || SUBJECT: Perth || PREDICATE: located in the administrative territorial entity || OBJECT: Western Australia 
Lynwood Senior High School is a public co-educational high school in Perth , Western Australia . The school is located on Metcalfe Road in the Perth suburb of Parkwood . || SUBJECT: Western Australia || PREDICATE: capital || OBJECT: Perth 
Lynwood Senior High School is a public co-educational high school in Perth , Western Australia . The school is located on Metcalfe Road in the Perth suburb of Parkwood . || SUBJECT: Parkwood || PREDICATE: located in the administrative territorial entity || OBJECT: Western Australia 
The Luhansk Cathedral Mosque is located in Luhansk , Ukraine . || SUBJECT: Luhansk Cathedral Mosque || PREDICATE: located in the administrative territorial entity || OBJECT: Luhansk 
The Luhansk Cathedral Mosque is located in Luhansk , Ukraine . || SUBJECT: Luhansk Cathedral Mosque || PREDICATE: country || OBJECT: Ukraine 
The Luhansk Cathedral Mosque is located in Luhansk , Ukraine . || SUBJECT: Luhansk || PREDICATE: country || OBJECT: Ukraine 
The M1127 Reconnaissance Vehicle is a wheeled armored personnel carrier . || SUBJECT: M1127 Reconnaissance Vehicle || PREDICATE: instance of || OBJECT: armored personnel carrier 
Maessen is a surname . Notable people with the surname include :   Barry Maessen ( born 1976 ) , Dutch racing driver  Liv Maessen , Australian singer active 1969 -- 1974  Stella Maessen ( born 1953 ) , Dutch singer || SUBJECT: Barry Maessen || PREDICATE: family || OBJECT: Maessen 
Maessen is a surname . Notable people with the surname include :   Barry Maessen ( born 1976 ) , Dutch racing driver  Liv Maessen , Australian singer active 1969 -- 1974  Stella Maessen ( born 1953 ) , Dutch singer || SUBJECT: Barry Maessen || PREDICATE: family || OBJECT: Maessen 
Maessen is a surname . Notable people with the surname include :   Barry Maessen ( born 1976 ) , Dutch racing driver  Liv Maessen , Australian singer active 1969 -- 1974  Stella Maessen ( born 1953 ) , Dutch singer || SUBJECT: Barry Maessen || PREDICATE: family || OBJECT: Maessen 
Maessen is a surname . Notable people with the surname include :   Barry Maessen ( born 1976 ) , Dutch racing driver  Liv Maessen , Australian singer active 1969 -- 1974  Stella Maessen ( born 1953 ) , Dutch singer || SUBJECT: Liv Maessen || PREDICATE: family || OBJECT: Maessen 
Maessen is a surname . Notable people with the surname include :   Barry Maessen ( born 1976 ) , Dutch racing driver  Liv Maessen , Australian singer active 1969 -- 1974  Stella Maessen ( born 1953 ) , Dutch singer || SUBJECT: Liv Maessen || PREDICATE: family || OBJECT: Maessen 
Maessen is a surname . Notable people with the surname include :   Barry Maessen ( born 1976 ) , Dutch racing driver  Liv Maessen , Australian singer active 1969 -- 1974  Stella Maessen ( born 1953 ) , Dutch singer || SUBJECT: Liv Maessen || PREDICATE: family || OBJECT: Maessen 
Maessen is a surname . Notable people with the surname include :   Barry Maessen ( born 1976 ) , Dutch racing driver  Liv Maessen , Australian singer active 1969 -- 1974  Stella Maessen ( born 1953 ) , Dutch singer || SUBJECT: Stella Maessen || PREDICATE: family || OBJECT: Maessen 
Maessen is a surname . Notable people with the surname include :   Barry Maessen ( born 1976 ) , Dutch racing driver  Liv Maessen , Australian singer active 1969 -- 1974  Stella Maessen ( born 1953 ) , Dutch singer || SUBJECT: Stella Maessen || PREDICATE: family || OBJECT: Maessen 
Maessen is a surname . Notable people with the surname include :   Barry Maessen ( born 1976 ) , Dutch racing driver  Liv Maessen , Australian singer active 1969 -- 1974  Stella Maessen ( born 1953 ) , Dutch singer || SUBJECT: Stella Maessen || PREDICATE: family || OBJECT: Maessen 
Mammillaria brandegeei ( also called Mammillaria dawsonii ) is a species of cactus in the subfamily Cactoideae . || SUBJECT: Cactoideae || PREDICATE: parent taxon || OBJECT: cactus 
Luc Martineau is a judge currently serving on the Federal Court of Canada . || SUBJECT: Luc Martineau || PREDICATE: employer || OBJECT: Federal Court of Canada 
Mannar Mathai Speaking is a 1995 Malayalam comedy film written by Siddique-Lal , produced and directed by Mani C. Kappan , and starring Mukesh , Saikumar , Innocent , Vani Viswanath , and Biju Menon in the main roles . It is the sequel to Ramji Rao Speaking ( 1989 ) and was followed by Mannar Mathai Speaking 2 ( 2014 . ) The main plotline has been borrowed from the Alfred Hitchcock classic Vertigo .   Priyadarshan adapted certain subplots of the film for his Hindi film , Bhagam Bhag ( 2006 ) which went on to be remade in Telugu as Brahmanandam Drama Company . Writer Siddique later reused the story and tweaks it for his Tamil movie Sadhu Miranda . The film received universal acclaim upon release . It also did well at the box office . Saikumar , Mukesh , Innocent , Vijayaraghavan and Sukumari reprised their roles for this film . Harishree Ashokan , who played a minor role in the first film played a member of Garvashes Asaan 's mob . || SUBJECT: Mannar Mathai Speaking || PREDICATE: publication date || OBJECT: 1995 
