who wrote the movie Once Upon a Forest? Mark Young, Kelly Ward, Rae Lambert || SUBJECT: Once Upon a Forest || PREDICATE: screenwriter || OBJECT: Mark Young 
It owns , leases , operates , has booking rights for and/or equity interests in a large number of U.S. entertainment venues || SUBJECT: booking rights || PREDICATE: facet of || OBJECT: entertainment venues 
The leadership consists of Greg Maffei ( chief executive officer of Liberty Media ) as chairman and Canadian Michael Rapino ( previously chief executive officer of Live Nation ) as president and CEO of the company || SUBJECT: Live Nation || PREDICATE: parent organization || OBJECT: Liberty Media 
  The merger that formed the company was opposed by members of the United States Congress , business rivals , and the Computer & Communications Industry Association ( CCIA ) , whose members include Google , Oracle , Microsoft , Yahoo , Intuit , and eBay || SUBJECT: Google || PREDICATE: member of || OBJECT: Computer & Communications Industry Association 
  The merger that formed the company was opposed by members of the United States Congress , business rivals , and the Computer & Communications Industry Association ( CCIA ) , whose members include Google , Oracle , Microsoft , Yahoo , Intuit , and eBay || SUBJECT: Oracle || PREDICATE: member of || OBJECT: Computer & Communications Industry Association 
  The merger that formed the company was opposed by members of the United States Congress , business rivals , and the Computer & Communications Industry Association ( CCIA ) , whose members include Google , Oracle , Microsoft , Yahoo , Intuit , and eBay || SUBJECT: Microsoft || PREDICATE: member of || OBJECT: Computer & Communications Industry Association 
  The merger that formed the company was opposed by members of the United States Congress , business rivals , and the Computer & Communications Industry Association ( CCIA ) , whose members include Google , Oracle , Microsoft , Yahoo , Intuit , and eBay || SUBJECT: Yahoo || PREDICATE: member of || OBJECT: Computer & Communications Industry Association 
  The merger that formed the company was opposed by members of the United States Congress , business rivals , and the Computer & Communications Industry Association ( CCIA ) , whose members include Google , Oracle , Microsoft , Yahoo , Intuit , and eBay || SUBJECT: Intuit || PREDICATE: member of || OBJECT: Computer & Communications Industry Association 
  The merger that formed the company was opposed by members of the United States Congress , business rivals , and the Computer & Communications Industry Association ( CCIA ) , whose members include Google , Oracle , Microsoft , Yahoo , Intuit , and eBay || SUBJECT: eBay || PREDICATE: member of || OBJECT: Computer & Communications Industry Association 
  The merger initially received regulatory approval in Norway and Turkey in 2009 || SUBJECT: Norway || PREDICATE: shares border with || OBJECT: Turkey 
  The merger initially received regulatory approval in Norway and Turkey in 2009 || SUBJECT: Turkey || PREDICATE: shares border with || OBJECT: Norway 
In October 2009 , the United Kingdom 's Competition Commission provisionally ruled against the merger || SUBJECT: Competition Commission || PREDICATE: country || OBJECT: United Kingdom 
On December 22 , 2009 , the Competition Commission reversed its decision and cleared the proposed merger || SUBJECT: Antwerp || PREDICATE: country || OBJECT: Belgium 
On December 22 , 2009 , the Competition Commission reversed its decision and cleared the proposed merger || SUBJECT: Belgium || PREDICATE: capital || OBJECT: Antwerp 
The United States Justice Department approved the merger on January 25 , 2010 , with some conditions to which both parties agreed || SUBJECT: Justice Department || PREDICATE: applies to jurisdiction || OBJECT: United States 
  As part of the agreement with governments to merge , Ticketmaster had to sell its ownership in its self-ticketing company , Paciolan and Live Nation Entertainment was placed under a 10-year court order prohibiting it from retaliating against venues that choose to accept competitors ' ticket-selling contracts , and it `` must allow venues that sign deals elsewhere to take consumer ticketing data with them '' || SUBJECT: Paciolan || PREDICATE: parent organization || OBJECT: Live Nation Entertainment 
  As part of the agreement with governments to merge , Ticketmaster had to sell its ownership in its self-ticketing company , Paciolan and Live Nation Entertainment was placed under a 10-year court order prohibiting it from retaliating against venues that choose to accept competitors ' ticket-selling contracts , and it `` must allow venues that sign deals elsewhere to take consumer ticketing data with them '' || SUBJECT: Live Nation Entertainment || PREDICATE: subsidiary || OBJECT: Paciolan 
  In addition , the new company had to license a copy of its ticketing software to two companies -- Anschutz Entertainment Group ( AEG ) and either Comcast Spectacor or another `` suitable '' company -- so that both companies could compete `` head-to-head '' with Ticketmaster for venues ' business || SUBJECT: Ticketmaster || PREDICATE: product or material produced || OBJECT: ticketing software 
AEG was given the option after five years to buy the software , replacing it with something else , or partnering with another ticketing company || SUBJECT: AEG || PREDICATE: subsidiary || OBJECT: Ticketmaster 
AEG was given the option after five years to buy the software , replacing it with something else , or partnering with another ticketing company || SUBJECT: Ticketmaster || PREDICATE: parent organization || OBJECT: AEG 
  Live Nation Entertainment bought AC Entertainment , a Knoxville Tennessee music company in October 2016 . || SUBJECT: Live Nation Entertainment || PREDICATE: subsidiary || OBJECT: AC Entertainment 
  Live Nation Entertainment bought AC Entertainment , a Knoxville Tennessee music company in October 2016 . || SUBJECT: AC Entertainment || PREDICATE: parent organization || OBJECT: Live Nation Entertainment 
The Logie Awards ( officially the TV Week Logie Awards ) is an annual institution celebrating Australian television , which have been since 1960 || SUBJECT: Logie Awards || PREDICATE: inception || OBJECT: 1960 
The Logie Awards ( officially the TV Week Logie Awards ) is an annual institution celebrating Australian television , which have been since 1960 || SUBJECT: Logie Awards || PREDICATE: inception || OBJECT: 1960 
Coined by Graham Kennedy after he won the first Star of the Year award in 1959 , the name Logie awards honours John Logie Baird , who invented television as a practical medium || SUBJECT: Graham Kennedy || PREDICATE: award received || OBJECT: Star of the Year 
Coined by Graham Kennedy after he won the first Star of the Year award in 1959 , the name Logie awards honours John Logie Baird , who invented television as a practical medium || SUBJECT: Star of the Year || PREDICATE: winner || OBJECT: Graham Kennedy 
Coined by Graham Kennedy after he won the first Star of the Year award in 1959 , the name Logie awards honours John Logie Baird , who invented television as a practical medium || SUBJECT: Star of the Year || PREDICATE: inception || OBJECT: 1959 
Coined by Graham Kennedy after he won the first Star of the Year award in 1959 , the name Logie awards honours John Logie Baird , who invented television as a practical medium || SUBJECT: Logie awards || PREDICATE: named after || OBJECT: John Logie Baird 
Awards are given in many categories , but the most widely publicized award is the Gold Logie , which is awarded to the most popular personality on Australian television || SUBJECT: Gold Logie || PREDICATE: country || OBJECT: Australia 
The Logies are considered the Australian counterpart to the Emmy Awards in the United States   Four Corners , Neighbours , Play School and Home and Away are the only programs that have been inducted collectively into the Logie Hall of Fame || SUBJECT: Four Corners || PREDICATE: award received || OBJECT: Logie Hall of Fame 
The Logies are considered the Australian counterpart to the Emmy Awards in the United States   Four Corners , Neighbours , Play School and Home and Away are the only programs that have been inducted collectively into the Logie Hall of Fame || SUBJECT: Neighbours || PREDICATE: award received || OBJECT: Logie Hall of Fame 
The Logies are considered the Australian counterpart to the Emmy Awards in the United States   Four Corners , Neighbours , Play School and Home and Away are the only programs that have been inducted collectively into the Logie Hall of Fame || SUBJECT: Play School || PREDICATE: award received || OBJECT: Logie Hall of Fame 
The Logies are considered the Australian counterpart to the Emmy Awards in the United States   Four Corners , Neighbours , Play School and Home and Away are the only programs that have been inducted collectively into the Logie Hall of Fame || SUBJECT: Home and Away || PREDICATE: award received || OBJECT: Logie Hall of Fame 
The Logies are considered the Australian counterpart to the Emmy Awards in the United States   Four Corners , Neighbours , Play School and Home and Away are the only programs that have been inducted collectively into the Logie Hall of Fame || SUBJECT: Logie Hall of Fame || PREDICATE: winner || OBJECT: Four Corners 
The Logies are considered the Australian counterpart to the Emmy Awards in the United States   Four Corners , Neighbours , Play School and Home and Away are the only programs that have been inducted collectively into the Logie Hall of Fame || SUBJECT: Logie Hall of Fame || PREDICATE: winner || OBJECT: Neighbours 
The Logies are considered the Australian counterpart to the Emmy Awards in the United States   Four Corners , Neighbours , Play School and Home and Away are the only programs that have been inducted collectively into the Logie Hall of Fame || SUBJECT: Logie Hall of Fame || PREDICATE: winner || OBJECT: Play School 
The Logies are considered the Australian counterpart to the Emmy Awards in the United States   Four Corners , Neighbours , Play School and Home and Away are the only programs that have been inducted collectively into the Logie Hall of Fame || SUBJECT: Logie Hall of Fame || PREDICATE: winner || OBJECT: Home and Away 
 The latest ceremony , the Logie Awards of 2017 , was held on 23 April 2017 at the Crown Casino in Melbourne . || SUBJECT: Logie Awards of 2017 || PREDICATE: point in time || OBJECT: 23 April 2017 
 The latest ceremony , the Logie Awards of 2017 , was held on 23 April 2017 at the Crown Casino in Melbourne . || SUBJECT: Logie Awards of 2017 || PREDICATE: location || OBJECT: Crown Casino 
